                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4646,                0.97869,                 1.5587,                0.94945,                0.93846,                0.96194,                0.60748,                 1.3644,                0.63923,                 1.5554,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4403,                 0.9689,                 1.5413,                 0.9634,                0.92308,                0.97469,                0.59123,                 1.4408,                0.69615,                 1.5509,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.4273,                0.95153,                 1.5316,                0.94422,                0.84615,                0.91012,                0.57491,                 1.3675,                0.70419,                 1.5429,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4205,                 0.9475,                 1.5313,                0.97537,                0.90769,                0.95683,                0.54458,                 1.4983,                0.72077,                 1.6207,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.4337,                 0.9473,                 1.5396,                0.89498,                0.93846,                0.95922,                0.54943,                 1.4559,                0.71517,                 1.5701,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.4079,                0.93496,                 1.5151,                0.96412,                0.82689,                0.93595,                0.60788,                 1.3028,                0.73667,                 1.4488,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3935,                0.91278,                 1.5168,                0.96645,                0.88628,                0.92399,                0.53452,                 1.6003,                0.70577,                 1.6781,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.3921,                0.91494,                 1.5043,                0.95483,                0.93846,                 0.9691,                0.58652,                 1.4033,                0.68034,                 1.5326,               0.001604,               0.001604,               0.001604
                     43,                 1.3911,                0.90637,                 1.5068,                0.94967,                0.93846,                 0.9781,                 0.5967,                 1.3867,                0.71253,                 1.5043,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.3931,                0.90019,                 1.5111,                 0.9723,                0.92308,                0.94911,                0.57683,                  1.386,                0.67649,                 1.5189,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3825,                0.91282,                 1.5056,                0.94472,                0.93846,                 0.9548,                0.60552,                 1.3219,                0.71948,                 1.4724,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.383,                0.90873,                 1.4952,                0.93517,                0.93846,                0.97303,                0.59618,                 1.4075,                0.62248,                 1.5353,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3812,                0.89723,                 1.5013,                      1,                0.85908,                0.96762,                0.60611,                 1.3032,                0.68202,                 1.4787,              0.0015545,              0.0015545,              0.0015545
                     48,                   1.37,                 0.8899,                 1.4995,                0.97548,                0.96923,                0.98236,                0.57723,                 1.4653,                0.64922,                 1.5979,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.3743,                0.88057,                 1.4904,                0.95304,                0.93675,                0.96767,                0.61712,                 1.2914,                0.64869,                 1.5081,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.3236,                 0.8532,                 1.4584,                0.94173,                0.89231,                 0.9495,                0.61768,                 1.3179,                0.73166,                 1.5476,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.3507,                0.85687,                 1.4734,                 0.9662,                0.87954,                0.95003,                0.54005,                 1.5432,                0.68983,                 1.6917,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.3287,                0.82635,                 1.4591,                0.85625,                0.91644,                 0.9377,                0.60972,                 1.3273,                0.65486,                  1.495,               0.001505,               0.001505,               0.001505
                     53,                 1.3149,                0.82172,                 1.4495,                 0.9522,                0.91937,                0.94832,                0.56911,                 1.4278,                0.62332,                 1.5813,              0.0014951,              0.0014951,              0.0014951
                     54,                   1.32,                0.82354,                 1.4511,                0.91509,                0.89231,                0.94401,                0.59007,                 1.3471,                0.72813,                 1.5389,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.3163,                0.83307,                 1.4511,                      1,                0.88637,                0.95478,                0.57044,                 1.4849,                0.74223,                 1.6289,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2906,                0.81613,                 1.4339,                 0.9535,                0.92308,                0.96128,                0.61829,                  1.357,                0.59088,                 1.5223,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2943,                 0.8066,                 1.4336,                0.94009,                0.84615,                0.89092,                 0.4955,                 1.5866,                0.80854,                 1.6686,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.2901,                 0.8123,                 1.4351,                0.96228,                0.92308,                0.95269,                0.61984,                 1.3401,                0.67174,                 1.5692,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.3052,                0.80722,                 1.4408,                0.89655,                0.90769,                0.94073,                0.59163,                 1.4178,                0.74564,                 1.5588,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.2858,                0.79498,                 1.4257,                  0.942,                0.87692,                0.93207,                0.54485,                 1.5209,                0.69379,                  1.699,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.2621,                0.77704,                 1.4121,                0.95037,                0.88384,                0.94368,                0.57973,                 1.4329,                0.73946,                 1.6539,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.2668,                0.78926,                 1.4144,                0.89578,                0.93846,                0.95726,                0.61943,                 1.3012,                0.70305,                 1.4983,               0.001406,               0.001406,               0.001406
                     63,                 1.2579,                0.78375,                 1.4052,                0.96768,                 0.9214,                0.94808,                0.58743,                 1.4587,                0.66828,                 1.6368,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.2606,                 0.7777,                 1.4085,                0.96316,                0.90769,                0.95764,                0.60447,                 1.3523,                0.70343,                 1.5477,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.2589,                0.78026,                 1.4032,                 0.9766,                0.89231,                0.93962,                0.53349,                 1.5482,                0.77873,                 1.6768,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.2285,                0.76083,                 1.3858,                0.86774,                0.87692,                0.91851,                 0.5233,                 1.5326,                0.73898,                 1.7147,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.2509,                0.77594,                 1.3973,                0.90411,                0.89231,                0.91652,                0.54991,                 1.4223,                0.76284,                 1.5769,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2349,                0.76744,                 1.3873,                0.95182,                0.91177,                0.95683,                0.61849,                 1.3296,                0.68969,                 1.4978,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.2188,                0.75323,                 1.3774,                0.95251,                0.92584,                 0.9573,                 0.6257,                 1.3042,                0.61587,                 1.5037,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.2047,                0.73545,                 1.3584,                0.96286,                0.95385,                0.96143,                0.58323,                 1.3837,                 0.6221,                 1.6161,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.2331,                0.75114,                  1.389,                0.97571,                0.92308,                0.95611,                0.59917,                 1.3756,                0.60321,                 1.6226,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.1924,                0.72669,                 1.3649,                0.93531,                0.96923,                0.96242,                0.58765,                 1.4193,                0.63433,                   1.59,               0.001307,               0.001307,               0.001307
                     73,                 1.2112,                 0.7339,                 1.3646,                0.96636,                0.95385,                0.96316,                0.59154,                 1.4013,                  0.596,                 1.5829,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.1898,                0.73577,                 1.3626,                0.98233,                0.92308,                0.96852,                0.60813,                 1.3432,                0.63196,                 1.5462,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.2095,                0.73249,                 1.3703,                0.96897,                0.96083,                0.96938,                0.58056,                 1.4224,                0.57761,                  1.571,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.1824,                0.71921,                 1.3406,                0.93811,                0.93279,                0.94902,                0.61165,                 1.2764,                0.57538,                 1.4833,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.1809,                0.71281,                 1.3484,                0.90924,                0.96923,                0.96182,                0.61984,                 1.3189,                0.58309,                 1.5314,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.1815,                0.72199,                 1.3498,                0.96824,                0.93795,                0.94627,                0.57583,                 1.3815,                0.65951,                 1.5653,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.1812,                0.71039,                 1.3461,                0.95205,                0.92308,                0.97542,                0.58284,                  1.377,                0.59265,                 1.5686,              0.0012377,              0.0012377,              0.0012377
                     80,                  1.164,                0.69413,                 1.3343,                0.93434,                0.93846,                0.95774,                0.60138,                 1.3992,                0.60867,                 1.5811,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.1617,                0.70251,                 1.3326,                0.98356,                0.92071,                0.95841,                0.61487,                 1.3922,                0.63725,                 1.5893,              0.0012179,              0.0012179,              0.0012179
